Class,"_defaultColorIndex","id",Model,PA
"Class 0","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.9433421492576599"
"Class 1","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.6638641953468323"
"Class 2","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.8704679012298584"
"Class 3","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.3250912129878998"
"Class 4","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.2901786267757416"
"Class 5","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.47124549746513367"
"Class 6","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.47940847277641296"
"Class 7","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.3496578335762024"
"Class 8","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.8562107086181641"
"Class 9","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.581389844417572"
"Class 10","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.9551563858985901"
"Class 11","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.4158695638179779"
"Class 12","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.01911853440105915"
"Class 13","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.9078190922737122"
"Class 14","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.48333296179771423"
"Class 15","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.7431767582893372"
"Class 16","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0"
"Class 17","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.03738081082701683"
"Class 18","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.03685816004872322"
"Class 19","15","mamba_unet_def_sufl_4","mamba_unet_def_sufl_4","0.7695461511611938"
"Class 0","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.9411582350730896"
"Class 1","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.6836782097816467"
"Class 2","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.8615021109580994"
"Class 3","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.3402079641819"
"Class 4","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.33422574400901794"
"Class 5","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.4195217490196228"
"Class 6","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.4349997043609619"
"Class 7","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.35028859972953796"
"Class 8","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.8471670746803284"
"Class 9","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.5790649056434631"
"Class 10","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.947563111782074"
"Class 11","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.4325235188007355"
"Class 12","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0"
"Class 13","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.9089645147323608"
"Class 14","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.4200848937034607"
"Class 15","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.5923585891723633"
"Class 16","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0"
"Class 17","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.017720023170113564"
"Class 18","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0"
"Class 19","14","hmt_unet_def_sufl_4","hmt_unet_def_sufl_4","0.7621086835861206"
"Class 0","13","swin_unet_def_sufl_4","swin_unet_def_sufl_4","0.937541663646698"
"Class 1","13","swin_unet_def_sufl_4","swin_unet_def_sufl_4","0.6207801103591919"
"Class 2","13","swin_unet_def_sufl_4","swin_unet_def_sufl_4","0.8576827645301819"
"Class 3","13","swin_unet_def_sufl_4","swin_unet_def_sufl_4","0.2604098916053772"
"Class 4","13","swin_unet_def_sufl_4","swin_unet_def_sufl_4","0.29513439536094666"
"Class 5","13","swin_unet_def_sufl_4","swin_unet_def_sufl_4","0.35602977871894836"
"Class 6","13","swin_unet_def_sufl_4","swin_unet_def_sufl_4","0.46096742153167725"
"Class 7","13","swin_unet_def_sufl_4","swin_unet_def_sufl_4","0.3237886130809784"
"Class 8","13","swin_unet_def_sufl_4","swin_unet_def_sufl_4","0.8292275071144104"
"Class 9","13","swin_unet_def_sufl_4","swin_unet_def_sufl_4","0.5059096217155457"
"Class 10","13","swin_unet_def_sufl_4","swin_unet_def_sufl_4","0.9597756862640381"
"Class 11","13","swin_unet_def_sufl_4","swin_unet_def_sufl_4","0.36163705587387085"
"Class 12","13","swin_unet_def_sufl_4","swin_unet_def_sufl_4","0"
"Class 13","13","swin_unet_def_sufl_4","swin_unet_def_sufl_4","0.8887192606925964"
"Class 14","13","swin_unet_def_sufl_4","swin_unet_def_sufl_4","0.3372182846069336"
"Class 15","13","swin_unet_def_sufl_4","swin_unet_def_sufl_4","0.3060234785079956"
"Class 16","13","swin_unet_def_sufl_4","swin_unet_def_sufl_4","0"
"Class 17","13","swin_unet_def_sufl_4","swin_unet_def_sufl_4","0.03721205145120621"
"Class 18","13","swin_unet_def_sufl_4","swin_unet_def_sufl_4","0.05757498741149902"
"Class 19","13","swin_unet_def_sufl_4","swin_unet_def_sufl_4","0.726315975189209"
"Class 0","12","unet_original_def_sufl_4","unet_original_def_sufl_4","0.9410579800605774"
"Class 1","12","unet_original_def_sufl_4","unet_original_def_sufl_4","0.6523176431655884"
"Class 2","12","unet_original_def_sufl_4","unet_original_def_sufl_4","0.8816428184509277"
"Class 3","12","unet_original_def_sufl_4","unet_original_def_sufl_4","0.2315867841243744"
"Class 4","12","unet_original_def_sufl_4","unet_original_def_sufl_4","0.2810596227645874"
"Class 5","12","unet_original_def_sufl_4","unet_original_def_sufl_4","0.43974965810775757"
"Class 6","12","unet_original_def_sufl_4","unet_original_def_sufl_4","0.4901313781738281"
"Class 7","12","unet_original_def_sufl_4","unet_original_def_sufl_4","0.3673878610134125"
"Class 8","12","unet_original_def_sufl_4","unet_original_def_sufl_4","0.8318701386451721"
"Class 9","12","unet_original_def_sufl_4","unet_original_def_sufl_4","0.5347334146499634"
"Class 10","12","unet_original_def_sufl_4","unet_original_def_sufl_4","0.956419825553894"
"Class 11","12","unet_original_def_sufl_4","unet_original_def_sufl_4","0.44572755694389343"
"Class 12","12","unet_original_def_sufl_4","unet_original_def_sufl_4","0.0006037431885488331"
"Class 13","12","unet_original_def_sufl_4","unet_original_def_sufl_4","0.9007729887962341"
"Class 14","12","unet_original_def_sufl_4","unet_original_def_sufl_4","0.4107932448387146"
"Class 15","12","unet_original_def_sufl_4","unet_original_def_sufl_4","0.3753558099269867"
"Class 16","12","unet_original_def_sufl_4","unet_original_def_sufl_4","0"
"Class 17","12","unet_original_def_sufl_4","unet_original_def_sufl_4","0.06269513070583344"
"Class 18","12","unet_original_def_sufl_4","unet_original_def_sufl_4","0.03393492475152016"
"Class 19","12","unet_original_def_sufl_4","unet_original_def_sufl_4","0.7541534304618835"
"Class 0","11","hmt_unet_def_sufl_3","hmt_unet_def_sufl_3","0.9410808086395264"
"Class 1","11","hmt_unet_def_sufl_3","hmt_unet_def_sufl_3","0.6904931664466858"
"Class 2","11","hmt_unet_def_sufl_3","hmt_unet_def_sufl_3","0.8585538864135742"
"Class 3","11","hmt_unet_def_sufl_3","hmt_unet_def_sufl_3","0.28827038407325745"
"Class 4","11","hmt_unet_def_sufl_3","hmt_unet_def_sufl_3","0.31906867027282715"
"Class 5","11","hmt_unet_def_sufl_3","hmt_unet_def_sufl_3","0.4229578971862793"
"Class 6","11","hmt_unet_def_sufl_3","hmt_unet_def_sufl_3","0.42600011825561523"
"Class 7","11","hmt_unet_def_sufl_3","hmt_unet_def_sufl_3","0.3583759665489197"
"Class 8","11","hmt_unet_def_sufl_3","hmt_unet_def_sufl_3","0.8464785218238831"
"Class 9","11","hmt_unet_def_sufl_3","hmt_unet_def_sufl_3","0.5432596802711487"
"Class 10","11","hmt_unet_def_sufl_3","hmt_unet_def_sufl_3","0.9471345543861389"
"Class 11","11","hmt_unet_def_sufl_3","hmt_unet_def_sufl_3","0.4398663640022278"
"Class 12","11","hmt_unet_def_sufl_3","hmt_unet_def_sufl_3","0"
"Class 13","11","hmt_unet_def_sufl_3","hmt_unet_def_sufl_3","0.9105831980705261"
"Class 14","11","hmt_unet_def_sufl_3","hmt_unet_def_sufl_3","0.45945754647254944"
"Class 15","11","hmt_unet_def_sufl_3","hmt_unet_def_sufl_3","0.6264541745185852"
"Class 16","11","hmt_unet_def_sufl_3","hmt_unet_def_sufl_3","0"
"Class 17","11","hmt_unet_def_sufl_3","hmt_unet_def_sufl_3","0.039405956864356995"
"Class 18","11","hmt_unet_def_sufl_3","hmt_unet_def_sufl_3","0"
"Class 19","11","hmt_unet_def_sufl_3","hmt_unet_def_sufl_3","0.7624486684799194"
"Class 0","10","mamba_unet_def_sufl_3","mamba_unet_def_sufl_3","0.9474124312400818"
"Class 1","10","mamba_unet_def_sufl_3","mamba_unet_def_sufl_3","0.7017363905906677"
"Class 2","10","mamba_unet_def_sufl_3","mamba_unet_def_sufl_3","0.878920316696167"
"Class 3","10","mamba_unet_def_sufl_3","mamba_unet_def_sufl_3","0.3016241788864136"
"Class 4","10","mamba_unet_def_sufl_3","mamba_unet_def_sufl_3","0.3026832044124603"
"Class 5","10","mamba_unet_def_sufl_3","mamba_unet_def_sufl_3","0.48719722032546997"
"Class 6","10","mamba_unet_def_sufl_3","mamba_unet_def_sufl_3","0.4689948856830597"
"Class 7","10","mamba_unet_def_sufl_3","mamba_unet_def_sufl_3","0.39300650358200073"
"Class 8","10","mamba_unet_def_sufl_3","mamba_unet_def_sufl_3","0.8524354100227356"
"Class 9","10","mamba_unet_def_sufl_3","mamba_unet_def_sufl_3","0.5260016918182373"
"Class 10","10","mamba_unet_def_sufl_3","mamba_unet_def_sufl_3","0.9540784358978271"
"Class 11","10","mamba_unet_def_sufl_3","mamba_unet_def_sufl_3","0.45981043577194214"
"Class 12","10","mamba_unet_def_sufl_3","mamba_unet_def_sufl_3","0.02274099364876747"
"Class 13","10","mamba_unet_def_sufl_3","mamba_unet_def_sufl_3","0.8993203639984131"
"Class 14","10","mamba_unet_def_sufl_3","mamba_unet_def_sufl_3","0.4700692892074585"
"Class 15","10","mamba_unet_def_sufl_3","mamba_unet_def_sufl_3","0.5994592308998108"
"Class 16","10","mamba_unet_def_sufl_3","mamba_unet_def_sufl_3","0"
"Class 17","10","mamba_unet_def_sufl_3","mamba_unet_def_sufl_3","0.056872837245464325"
"Class 18","10","mamba_unet_def_sufl_3","mamba_unet_def_sufl_3","0.010421962477266788"
"Class 19","10","mamba_unet_def_sufl_3","mamba_unet_def_sufl_3","0.7522268891334534"
"Class 0","9","swin_unet_def_sufl_3","swin_unet_def_sufl_3","0.9255061149597168"
"Class 1","9","swin_unet_def_sufl_3","swin_unet_def_sufl_3","0.5865341424942017"
"Class 2","9","swin_unet_def_sufl_3","swin_unet_def_sufl_3","0.8456918597221375"
"Class 3","9","swin_unet_def_sufl_3","swin_unet_def_sufl_3","0.1813785880804062"
"Class 4","9","swin_unet_def_sufl_3","swin_unet_def_sufl_3","0.24129459261894226"
"Class 5","9","swin_unet_def_sufl_3","swin_unet_def_sufl_3","0.2909092903137207"
"Class 6","9","swin_unet_def_sufl_3","swin_unet_def_sufl_3","0.4038914740085602"
"Class 7","9","swin_unet_def_sufl_3","swin_unet_def_sufl_3","0.25578904151916504"
"Class 8","9","swin_unet_def_sufl_3","swin_unet_def_sufl_3","0.812919020652771"
"Class 9","9","swin_unet_def_sufl_3","swin_unet_def_sufl_3","0.45333370566368103"
"Class 10","9","swin_unet_def_sufl_3","swin_unet_def_sufl_3","0.9620580077171326"
"Class 11","9","swin_unet_def_sufl_3","swin_unet_def_sufl_3","0.2754766345024109"
"Class 12","9","swin_unet_def_sufl_3","swin_unet_def_sufl_3","0"
"Class 13","9","swin_unet_def_sufl_3","swin_unet_def_sufl_3","0.8671299815177917"
"Class 14","9","swin_unet_def_sufl_3","swin_unet_def_sufl_3","0.31051018834114075"
"Class 15","9","swin_unet_def_sufl_3","swin_unet_def_sufl_3","0.14481434226036072"
"Class 16","9","swin_unet_def_sufl_3","swin_unet_def_sufl_3","0"
"Class 17","9","swin_unet_def_sufl_3","swin_unet_def_sufl_3","0"
"Class 18","9","swin_unet_def_sufl_3","swin_unet_def_sufl_3","0.008261311799287796"
"Class 19","9","swin_unet_def_sufl_3","swin_unet_def_sufl_3","0.7261133790016174"
"Class 0","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.942185640335083"
"Class 1","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.6343566179275513"
"Class 2","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.857381284236908"
"Class 3","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.24544426798820496"
"Class 4","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.3029506802558899"
"Class 5","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.4224143922328949"
"Class 6","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.46896541118621826"
"Class 7","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.34021392464637756"
"Class 8","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.8465902805328369"
"Class 9","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.5271401405334473"
"Class 10","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.9584137797355652"
"Class 11","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.3359915614128113"
"Class 12","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.010867377743124962"
"Class 13","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.9099563956260681"
"Class 14","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.4257502555847168"
"Class 15","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.4500548541545868"
"Class 16","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0"
"Class 17","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.12032739818096161"
"Class 18","8","unet_original_def_sufl_3","unet_original_def_sufl_3","0.15238942205905914"
